,price_in_nok
2019-04-10,609.9796153736114
2019-04-11,605.4653619766235
2019-04-12,610.4634822654724
2019-04-13,610.4634822654724
2019-04-14,610.4634822654724
2019-04-15,602.1537021636964
2019-04-16,600.5755002021789
2019-04-17,602.6411672401429
2019-04-18,598.9985512447356
2019-04-19,598.9985512447356
2019-04-20,598.9985512447356
2019-04-21,598.9985512447356
2019-04-22,598.9985512447356
2019-04-23,633.1778898334503
2019-04-24,631.1887742900849
2019-04-25,647.4291679573059
2019-04-26,615.2689515113831
2019-04-27,615.2689515113831
2019-04-28,615.2689515113831
2019-04-29,618.303524723053
2019-04-30,625.0498658180237
2019-05-01,623.4913538932801
2019-05-02,612.8347590637208
2019-05-03,630.9223490715027
2019-05-04,630.9223490715027
2019-05-05,630.9223490715027
2019-05-06,630.1093078136445
2019-05-07,618.04416721344
2019-05-08,620.6796675491333
2019-05-09,619.4120865154266
2019-05-10,627.829801864624
2019-05-11,627.829801864624
2019-05-12,627.829801864624
2019-05-13,632.6211866378784
2019-05-14,634.0500392055511
2019-05-15,639.4643804454804
2019-05-16,651.3690596580506
2019-05-17,644.7420116615295
2019-05-18,644.7420116615295
2019-05-19,644.7420116615295
2019-05-20,642.3225594615935
2019-05-21,641.6677828025818
2019-05-22,630.920968093872
2019-05-23,599.392957277298
2019-05-24,593.7713053321838
2019-05-25,593.7713053321838
2019-05-26,593.7713053321838
2019-05-27,590.7258146095277
2019-05-28,610.2107915401458
2019-05-29,616.8567317962646
2019-05-30,607.3384158611298
2019-05-31,586.5754852867127
2019-06-01,586.5754852867127
2019-06-02,586.5754852867127
2019-06-03,553.1110918045043
2019-06-04,552.0440245819092
2019-06-05,540.0960144233703
2019-06-06,547.5615397548676
2019-06-07,557.4071876525878
2019-06-08,557.4071876525878
2019-06-09,557.4071876525878
2019-06-10,559.2333266448975
2019-06-11,551.45290184021
2019-06-12,532.2737568092346
2019-06-13,547.1504968261719
2019-06-14,547.8168821239472
2019-06-15,547.8168821239472
2019-06-16,547.8168821239472
2019-06-17,545.379312286377
2019-06-18,553.0454710006715
2019-06-19,549.3655674934388
2019-06-20,564.8126115417481
2019-06-21,565.5079109477996
2019-06-22,565.5079109477996
2019-06-23,565.5079109477996
2019-06-24,552.9086770248413
2019-06-25,562.7353244018555
2019-06-26,570.0366088867187
2019-06-27,568.3178128051758
2019-06-28,574.6086734008788
2019-06-29,574.6086734008788
2019-06-30,574.6086734008788
2019-07-01,555.4852618217468
2019-07-02,537.1340881347656
2019-07-03,545.4431616020203
2019-07-04,542.7612799835205
2019-07-05,548.511334104538
2019-07-06,548.511334104538
2019-07-07,548.511334104538
2019-07-08,559.9487868118287
2019-07-09,555.8092034339904
2019-07-10,575.0442163467407
2019-07-11,579.0931239700318
2019-07-12,568.1312852382661
2019-07-13,568.1312852382661
2019-07-14,568.1312852382661
2019-07-15,570.4494924545288
2019-07-16,562.7274245738984
2019-07-17,547.1035849380494
2019-07-18,521.8014958381654
2019-07-19,521.6844848632812
2019-07-20,521.6844848632812
2019-07-21,521.6844848632812
2019-07-22,531.3627688217164
2019-07-23,538.0680390930175
2019-07-24,553.7699429798126
2019-07-25,548.9456850337982
2019-07-26,542.0716299247741
2019-07-27,542.0716299247741
2019-07-28,542.0716299247741
2019-07-29,543.3182780361176
2019-07-30,545.3046622753143
2019-07-31,560.7406307125091
2019-08-01,558.6023355484009
2019-08-02,543.5646197509766
2019-08-03,543.5646197509766
2019-08-04,543.5646197509766
2019-08-05,529.8521895599365
2019-08-06,521.9418420219422
2019-08-07,490.69147897720336
2019-08-08,502.7428861904144
2019-08-09,511.43062335968017
2019-08-10,511.43062335968017
2019-08-11,511.43062335968017
2019-08-12,507.440099773407
2019-08-13,534.5176536560058
2019-08-14,514.7457301330567
2019-08-15,513.7942492389678
2019-08-16,532.0915193557739
2019-08-17,532.0915193557739
2019-08-18,532.0915193557739
2019-08-19,538.5643938732147
2019-08-20,530.2783003234863
2019-08-21,544.9030986785889
2019-08-22,535.8318360137939
2019-08-23,526.6399649047852
2019-08-24,526.6399649047852
2019-08-25,526.6399649047852
2019-08-26,526.3936779785156
2019-08-27,526.6729887771606
2019-08-28,544.6923133277893
2019-08-29,549.054462184906
2019-08-30,556.2086747741699
2019-08-31,556.2086747741699
2019-09-01,556.2086747741699
2019-09-02,534.0814147472381
2019-09-03,528.9820082759857
2019-09-04,550.7195404815674
2019-09-05,566.3440452575684
2019-09-06,551.0542823791504
2019-09-07,551.0542823791504
2019-09-08,551.0542823791504
2019-09-09,573.5679587745667
2019-09-10,578.3179581832886
2019-09-11,563.6572059440613
2019-09-12,543.8141569137573
2019-09-13,549.5840156078339
2019-09-14,549.5840156078339
2019-09-15,549.5840156078339
2019-09-16,612.3179444503784
2019-09-17,588.6767803764344
2019-09-18,575.4662414646149
2019-09-19,574.96040558815
2019-09-20,585.0804581260682
2019-09-21,585.0804581260682
2019-09-22,585.0804581260682
2019-09-23,585.6062060165405
2019-09-24,579.8249791622161
2019-09-25,563.1129758071899
2019-09-26,562.2461370849609
2019-09-27,567.9806888580322
2019-09-28,567.9806888580322
2019-09-29,567.9806888580322
2019-09-30,553.8379954433441
2019-10-01,548.9363923072815
2019-10-02,529.0702139282226
2019-10-03,530.3680383300781
2019-10-04,539.1946536540985
2019-10-05,539.1946536540985
2019-10-06,539.1946536540985
2019-10-07,541.531954536438
2019-10-08,530.5275
2019-10-09,547.5445404052734
2019-10-10,540.0680158996582
2019-10-11,551.3205430698395
2019-10-12,551.3205430698395
2019-10-13,551.3205430698395
2019-10-14,535.282744922638
2019-10-15,539.357032213211
2019-10-16,542.7017492294311
2019-10-17,546.2395988941192
2019-10-18,550.5587337493896
2019-10-19,550.5587337493896
2019-10-20,550.5587337493896
2019-10-21,539.9997000217438
2019-10-22,552.6191058158875
2019-10-23,555.9730157470703
2019-10-24,563.0049976158142
2019-10-25,566.8870420646667
2019-10-26,566.8870420646667
2019-10-27,566.8870420646667
2019-10-28,555.2981259727478
2019-10-29,562.8321681976319
2019-10-30,555.3367869949341
2019-10-31,543.4133542060852
2019-11-01,552.4508811664581
2019-11-02,552.4508811664581
2019-11-03,552.4508811664581
2019-11-04,567.5190609741211
2019-11-05,571.7555310058593
2019-11-06,571.4741232681274
2019-11-07,572.364315032959
2019-11-08,565.619800567627
2019-11-09,565.619800567627
2019-11-10,565.619800567627
2019-11-11,572.9824885940552
2019-11-12,568.0061437225341
2019-11-13,572.0931540870666
2019-11-14,573.9324391365051
2019-11-15,579.4222996520996
2019-11-16,579.4222996520996
2019-11-17,579.4222996520996
2019-11-18,570.8893070983887
2019-11-19,569.5066883468628
2019-11-20,585.5244853973388
2019-11-21,594.359549074173
2019-11-22,592.5202550411224
2019-11-23,592.5202550411224
2019-11-24,592.5202550411224
2019-11-25,591.4977172088624
2019-11-26,594.9827735710144
2019-11-27,597.9118211841584
2019-11-28,593.5295639419556
